"Timestamp","OGS","KGS","DGS","IGS","Foxwq","Tygem","WBaduk","GoQuest","AGA","EGF","Korea","China","Japan"
"2018/03/25 10:04:02 AM GMT+3","1k","1k","","1k","","2d","","","","","","",""
"2018/03/25 10:15:30 AM GMT+3","5k","4k","","","","","","","","","","",""
"2018/03/25 10:18:14 AM GMT+3","4k","3k","","3k","","1d","","","","","","",""
"2018/03/25 10:18:50 AM GMT+3","14k","14k","","14k","","","","","","","","",""
"2018/03/25 10:31:37 AM GMT+3","","5k","","6k","3k","4k","","","","","","",""
"2018/03/25 10:59:23 AM GMT+3","","","","","","1k","","","","","","",""
"2018/03/25 11:04:55 AM GMT+3","6k","4k","","","","5k","","1650","","","","",""
"2018/03/25 11:09:17 AM GMT+3","","","","","","","","","","","","",""
"2018/03/25 11:16:40 AM GMT+3","","1k","","","3d","2d","","","","","","",""
"2018/03/25 11:19:41 AM GMT+3","","1d","","2d","","4d","","","","","","",""
"2018/03/25 11:22:46 AM GMT+3","5k","6k","","8k","","","","","","","","",""
"2018/03/25 11:32:12 AM GMT+3","2d","2d","","","","5d","6d","","","","","",""
"2018/03/25 11:36:25 AM GMT+3","","2k","","","","3d","","","","","","",""
"2018/03/25 11:37:11 AM GMT+3","3k","3k","","","2k","","","","","","","",""
"2018/03/25 11:40:48 AM GMT+3","1k","1k","","","2d","","","1778","","","","",""
"2018/03/25 11:46:13 AM GMT+3","","1k","","","","2d","","1839","","","","",""
"2018/03/25 11:46:52 AM GMT+3","7k","5k","","","6k","","","","","","","",""
"2018/03/25 11:57:35 AM GMT+3","6k","5k","5k","","4k","6k","14k","","","","","",""
"2018/03/25 12:01:07 PM GMT+3","14k","","","","","","","","","","","",""
"2018/03/25 12:25:01 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 12:32:36 PM GMT+3","2d","1k","","1d","","2d","","","","6k","","",""
"2018/03/25 12:36:39 PM GMT+3","","2k","","","","2d","","","","4k","","",""
"2018/03/25 12:41:34 PM GMT+3","","1k","","","","4d","","","","2k","","",""
"2018/03/25 12:42:22 PM GMT+3","","1d","","1k","","3d","","","","2k","","",""
"2018/03/25 12:54:49 PM GMT+3","","5k","","","","","7k","","","","","3k",""
"2018/03/25 12:57:36 PM GMT+3","","1d","","","","3d","3d","","","1d","","",""
"2018/03/25 1:05:00 PM GMT+3","","2d","6d","","","","5d","","","2d","","",""
"2018/03/25 1:06:44 PM GMT+3","1k","3k","","5k","","","","","","5k","","",""
"2018/03/25 1:10:29 PM GMT+3","4k","4k","","","","3k","","","","","","",""
"2018/03/25 1:20:28 PM GMT+3","","","","4d","","","","2068","","1d","","",""
"2018/03/25 1:23:15 PM GMT+3","4d","1d","","","4d","4d","5d","","","","","",""
"2018/03/25 1:24:41 PM GMT+3","","2k","","","3d","2d","","","","3k","","",""
"2018/03/25 1:29:19 PM GMT+3","","5d","6d","","","7d","7d","","","5d","","5d",""
"2018/03/25 1:29:29 PM GMT+3","1k","2k","","3k","","1d","1d","","","1k","","",""
"2018/03/25 1:35:33 PM GMT+3","4d","3d","","","","","","2164","","2d","","",""
"2018/03/25 1:40:41 PM GMT+3","","5k","","","","","","","","9k","","",""
"2018/03/25 1:41:12 PM GMT+3","2k","1k","","3k","","","2k","","","3k","","",""
"2018/03/25 1:53:48 PM GMT+3","","2d","","","","","","","","3d","","",""
"2018/03/25 1:55:26 PM GMT+3","1k","","","","","","","","","2d","","",""
"2018/03/25 1:57:25 PM GMT+3","","10k","","","","","","","","","","",""
"2018/03/25 1:57:36 PM GMT+3","","2k","","","","3d","","","","3k","","",""
"2018/03/25 2:02:48 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 2:16:30 PM GMT+3","","1d","1d","2k","1k","","","","","3k","","",""
"2018/03/25 2:28:17 PM GMT+3","2k","","2k","2k","1d","","","1760","","","","",""
"2018/03/25 2:32:58 PM GMT+3","3k","2d","1k","","","3d","","1823","","1k","","",""
"2018/03/25 2:40:48 PM GMT+3","12k","","","","","","","","","","","",""
"2018/03/25 2:41:26 PM GMT+3","3d","2d","","2d","","5d","","","","1d","","",""
"2018/03/25 2:43:15 PM GMT+3","6d","7d","","","","","8d","","","6d","","",""
"2018/03/25 3:11:39 PM GMT+3","7k","5k","","","","6k","","","","9k","","",""
"2018/03/25 3:13:12 PM GMT+3","1k","2k","","","","3d","","1800","","","","",""
"2018/03/25 3:19:09 PM GMT+3","2k","1k","","3k","","1d","","1800","4k","","","",""
"2018/03/25 3:21:15 PM GMT+3","","5k","","","","","","","","","","",""
"2018/03/25 3:22:04 PM GMT+3","11k","","","","","","","","","","","",""
"2018/03/25 3:27:13 PM GMT+3","12k","9k","","","12k","","","","","","","",""
"2018/03/25 3:31:09 PM GMT+3","","5k","3k","","","","","","7k","","","",""
"2018/03/25 3:38:52 PM GMT+3","1k","1d","","","4d","4d","","","","","","",""
"2018/03/25 3:39:43 PM GMT+3","","5k","","8k","","","","","5k","","","",""
"2018/03/25 3:39:45 PM GMT+3","8k","7k","","5k","6k","5k","","","","","","",""
"2018/03/25 3:40:46 PM GMT+3","","","","4d","","","6d","2156","","2d","","",""
"2018/03/25 3:42:18 PM GMT+3","","2k","","1k","3d","2d","","","","4k","","",""
"2018/03/25 3:44:25 PM GMT+3","","4d","","","","6d","","2040","","3d","","",""
"2018/03/25 3:52:20 PM GMT+3","","5d","","","7d","7d","","","","","","",""
"2018/03/25 3:54:27 PM GMT+3","20k","","","","","","","","","","","",""
"2018/03/25 3:57:39 PM GMT+3","4d","1d","","3d","5d","5d","5d","","","","","","6d"
"2018/03/25 4:00:10 PM GMT+3","5d","4d","","","7d","8d","8d","","","","","","7d"
"2018/03/25 4:01:33 PM GMT+3","1d","1d","","1d","4d","4d","","","2d","","","",""
"2018/03/25 4:14:12 PM GMT+3","4d","1d","","","","3d","3d","1850","3d","","","","6d"
"2018/03/25 4:16:54 PM GMT+3","12k","","","","","","","","","","","",""
"2018/03/25 4:20:34 PM GMT+3","9k","9k","8k","","","","","1521","9k","","","",""
"2018/03/25 4:29:36 PM GMT+3","3k","2k","","","","","","","","","","",""
"2018/03/25 4:34:58 PM GMT+3","3d","1d","","3d","","2d","","1950","","1d","","",""
"2018/03/25 4:35:33 PM GMT+3","","","","","3k","","","","","7k","","",""
"2018/03/25 4:35:49 PM GMT+3","2k","","","","","","","","3k","","","",""
"2018/03/25 4:40:22 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 4:41:40 PM GMT+3","","2k","","3k","","1d","","1800","","","","",""
"2018/03/25 4:42:11 PM GMT+3","9d","9d","","","6d","9d","","","","","","",""
"2018/03/25 4:53:03 PM GMT+3","","2k","","","3d","","","","","3k","","",""
"2018/03/25 4:56:21 PM GMT+3","4k","","","","","","","","","","","1d","3d"
"2018/03/25 4:58:54 PM GMT+3","","1k","","","","3d","","","","","","",""
"2018/03/25 4:59:20 PM GMT+3","","2k","","","2k","1d","1k","1880","","","","","3d"
"2018/03/25 5:15:33 PM GMT+3","11k","8k","","10k","","14k","","","","","","",""
"2018/03/25 5:17:27 PM GMT+3","1k","1k","","2k","3d","3d","","","","","","",""
"2018/03/25 5:38:12 PM GMT+3","","","3k","","","","","","","5k","","",""
"2018/03/25 5:54:18 PM GMT+3","5k","","","","3k","","","","","","","",""
"2018/03/25 6:02:51 PM GMT+3","1k","1d","","","","3d","2d","","","","","",""
"2018/03/25 6:05:08 PM GMT+3","8k","","","","","","","","","","","",""
"2018/03/25 6:16:37 PM GMT+3","","3k","","","1d","","","","","","","",""
"2018/03/25 6:17:44 PM GMT+3","6k","5k","","","","","","","","6k","","",""
"2018/03/25 6:22:46 PM GMT+3","11k","10k","","","","","","","","","","",""
"2018/03/25 6:29:39 PM GMT+3","14k","","","","","","","","","","","",""
"2018/03/25 6:43:51 PM GMT+3","3d","","","3d","","","","","","2d","","",""
"2018/03/25 6:49:56 PM GMT+3","","7k","","10k","","8k","","","","","","",""
"2018/03/25 6:54:20 PM GMT+3","4d","3d","","","","6d","","","","2d","","",""
"2018/03/25 7:10:07 PM GMT+3","5k","4k","","","5k","4k","","","","","","",""
"2018/03/25 7:11:04 PM GMT+3","","7k","","","","","","","","","","",""
"2018/03/25 7:24:19 PM GMT+3","13k","12k","25k","13k","14k","12k","12k","1800","21k","","","",""
"2018/03/25 7:24:25 PM GMT+3","10k","6k","","","","12k","","","","12k","","",""
"2018/03/25 7:28:16 PM GMT+3","","4d","","","7d","8d","","2235","","5d","5d","",""
"2018/03/25 7:43:00 PM GMT+3","14k","","","","","","","","","","","",""
"2018/03/25 7:51:15 PM GMT+3","7k","6k","","12k","","","","","","","","",""
"2018/03/25 8:06:55 PM GMT+3","","1d","","","","2d","","","3d","","","",""
"2018/03/25 8:10:22 PM GMT+3","","10k","","17k","","16k","","","15k","","","",""
"2018/03/25 8:32:17 PM GMT+3","6k","","","11k","","","","","9k","","","",""
"2018/03/25 8:35:11 PM GMT+3","1d","1k","","","","","","","","","","",""
"2018/03/25 8:55:30 PM GMT+3","","","","","","","","","","","","",""
"2018/03/25 8:56:32 PM GMT+3","2k","1k","","","","","","","","","","",""
"2018/03/25 9:30:58 PM GMT+3","","3k","","","1d","","","","","","","",""
"2018/03/25 10:01:11 PM GMT+3","24k","","","","","","","","","","","",""
"2018/03/25 10:14:31 PM GMT+3","15k","15k","","15k","","","","","","","","",""
"2018/03/25 10:16:23 PM GMT+3","8k","6k","7k","7k","","","","","","7k","","",""
